cell_id,lat,lon,lat_max,lon_max,lulc_class,ndvi,ndwi,albedo,building_density,building_height,zone_name,air_temp,humidity,wind_speed,svf,lst,hsi_class
cell_16.6528_74.2155,16.6528,74.2155,16.6553,74.218,bare,0.08143226228203822,-0.04349202471827834,0.24852059197080925,0,0.0,Shenda Park,26.85899111600233,76.92587072621083,6.345976449299515,0.7905977401540583,23.83,Cool Zone
cell_16.6528_74.2180,16.6528,74.218,16.6553,74.2205,water,0.03791111818999549,0.489298683022811,0.07089128632343644,0,0.0,Shenda Park,26.780351794137992,75.62467889486945,5.090089989511419,0.815510748708265,24.65,Cool Zone
cell_16.6528_74.2205,16.6528,74.2205,16.6553,74.223,built_up,0.12468165306620863,-0.18934836711138764,0.14549435039798417,135,13.295754976293125,Shenda Park,28.68914775905602,72.42068714637979,3.7119478348070842,0.38567722372500574,34.85,Mild Zone
cell_16.6528_74.2230,16.6528,74.223,16.6553,74.2255,built_up,0.16634887288509626,-0.212815703678475,0.16323950217962144,225,8.571353501255668,Shenda Park,30.698909416384264,66.64930789282107,3.8409267657484416,0.2,40.31,Hot Zone
cell_16.6528_74.2255,16.6528,74.2255,16.6553,74.228,built_up,0.10479467423439488,-0.1257651848767069,0.15710190985559833,60,12.579653119757518,Shenda Park,26.935769939777575,75.5584696537806,4.424558442749335,0.7104611626896868,30.0,Mild Zone
cell_16.6528_74.2280,16.6528,74.228,16.6553,74.2305,built_up,0.10569470677263053,-0.15393307313756988,0.13123775194722778,60,11.773076004478963,Shenda Park,27.251503265856627,73.35230413538473,5.300412278056731,0.7223831885677312,28.55,Cool Zone
cell_16.6528_74.2305,16.6528,74.2305,16.6553,74.233,built_up,0.18589520794753334,-0.11570571494061042,0.11432558265601411,15,7.061803050125293,Shenda Park,26.474654355381567,73.84636281535909,4.682256090525576,0.8297438582289985,26.45,Cool Zone
cell_16.6528_74.2330,16.6528,74.233,16.6553,74.2355,road,0.2433508199546951,-0.08826512238885256,0.11935198467283734,45,8.201504603419032,Shenda Park,28.217902930185772,77.00580426308979,5.278498572972912,0.7240138057503853,27.2,Cool Zone
cell_16.6528_74.2355,16.6528,74.2355,16.6553,74.238,road,0.20865243758461166,-0.017040138259903345,0.11322740755454719,30,7.653402858700005,Shenda Park,27.701787533817647,74.03124434032102,4.992651986992082,0.8144042550529212,26.0,Cool Zone
cell_16.6528_74.2380,16.6528,74.238,16.6553,74.2405,road,0.13111925909981006,-0.08446089383205291,0.11503645731363409,15,10.534960205885056,Shenda Park,27.03521009113423,77.7175080358571,5.42950039505656,0.7324413764930588,26.16,Cool Zone
cell_16.6528_74.2405,16.6528,74.2405,16.6553,74.243,built_up,0.12037824646544197,-0.08659872975379489,0.15021388643350367,120,9.667305592680748,Shenda Park,28.32604993984719,72.0775557809601,3.524762320676428,0.41908816075106636,32.79,Mild Zone
cell_16.6528_74.2430,16.6528,74.243,16.6553,74.2455,built_up,0.14611357933978,-0.08712607212984103,0.15252669495333745,250,13.945796933149913,Shenda Park,30.45521048452317,66.02272598913677,2.6111749985601556,0.2,41.17,Hot Zone
cell_16.6528_74.2455,16.6528,74.2455,16.6553,74.248,built_up,0.10405081302510613,-0.07433892457754923,0.14735871042539878,105,14.60477040582826,Shenda Park,28.316811015317395,68.94907389216594,4.909740546834646,0.5105326129280952,31.9,Mild Zone
cell_16.6528_74.2480,16.6528,74.248,16.6553,74.2505,built_up,0.14318450368432706,-0.1121559983518676,0.12665640679219126,120,14.70990771588353,Shenda Park,28.587259138981917,68.40077292963457,4.503567906621256,0.4382848381996826,33.07,Mild Zone
cell_16.6528_74.2505,16.6528,74.2505,16.6553,74.253,built_up,0.2063267694575358,-0.1477716818957855,0.10942842853043316,15,10.076418187127858,Shenda Park,26.851176060368225,78.5259491748544,5.147759551259647,0.7858690280299512,25.71,Cool Zone
cell_16.6528_74.2530,16.6528,74.253,16.6553,74.2555,road,0.24870234373435465,-0.1391819112962125,0.10837244069828905,45,5.950515892799474,Shenda Park,27.040156753609693,70.30830831136582,5.564920404445813,0.6767671159681051,26.74,Cool Zone
cell_16.6528_74.2555,16.6528,74.2555,16.6553,74.258,road,0.16218336164544633,-0.12171218082781284,0.08477901107922041,30,5.9781122274763305,Shenda Park,26.83709144463295,73.72644887122183,5.216399297096748,0.8287501228026694,26.5,Cool Zone
cell_16.6528_74.2580,16.6528,74.258,16.6553,74.2605,road,0.21427156310683926,-0.08989417035384561,0.13590755059430182,15,8.239089430017922,Shenda Park,26.944791142535014,77.11252489982219,4.807659246277034,0.7201000485929534,25.88,Cool Zone
cell_16.6528_74.2605,16.6528,74.2605,16.6553,74.263,built_up,0.10520594922316846,-0.12666476407430638,0.2146946863145674,60,12.59927903660424,Shenda Park,28.09041999817599,74.7930236587945,5.497177083541645,0.6136250946653398,29.18,Cool Zone
cell_16.6528_74.2630,16.6528,74.263,16.6553,74.2655,road,0.17902540756713303,-0.10207646178573145,0.10570849066632274,45,9.298334688857526,Shenda Park,27.7518546182818,72.40993660952131,5.0332104532449415,0.640568938853373,26.32,Cool Zone
cell_16.6528_74.2655,16.6528,74.2655,16.6553,74.268,road,0.17338836689121057,-0.05018642643329016,0.1357290643864579,15,4.202913609858349,Shenda Park,28.11645324929178,71.6412668370565,5.3884109531544295,0.828428723647429,24.6,Cool Zone
cell_16.6528_74.2680,16.6528,74.268,16.6553,74.2705,built_up,0.15470633759103244,-0.08954849279259042,0.12297659091634436,45,11.131522046502187,Shenda Park,26.74552777456718,70.0983580103651,4.590060160709585,0.6413878574072437,28.77,Cool Zone
cell_16.6528_74.2705,16.6528,74.2705,16.6553,74.273,built_up,0.15417664272045087,-0.11884643600892648,0.11584018214425303,30,4.721036028311323,Shenda Park,27.418297955359556,75.00413742013616,5.817190883295253,0.7484960939499606,25.78,Cool Zone
cell_16.6528_74.2730,16.6528,74.273,16.6553,74.2755,vegetation,0.55,0.05,0.2,0,0.0,Shenda Park,27.147730941263383,72.38974716676856,5.541986630398293,0.8322167003109547,18.68,Cool Zone
cell_16.6528_74.2755,16.6528,74.2755,16.6553,74.278,road,0.2438195905579655,-0.08659684437564222,0.10147038661081073,45,7.8510132116777775,Shenda Park,28.492776626222923,73.91853871463172,5.022366443275564,0.7167760878049424,26.42,Cool Zone
cell_16.6528_74.2780,16.6528,74.278,16.6553,74.2805,built_up,0.15570881080950302,-0.1738863934597108,0.17461023495675407,180,9.553405692011758,Shenda Park,29.386058558081753,71.62105759733763,3.8871395609979627,0.2,35.8,Warm Zone
cell_16.6528_74.2805,16.6528,74.2805,16.6553,74.283,built_up,0.10008052254156106,-0.15194579294223032,0.14428819039722504,165,11.568233194809206,Shenda Park,29.640412223540757,70.44461173855076,3.8994977075971273,0.24035671942734446,38.31,Warm Zone
cell_16.6528_74.2830,16.6528,74.283,16.6553,74.2855,water,0.0606480392593623,0.452021394785431,0.08090101972852035,0,0.0,Shenda Park,26.768764317537237,75.48599977520193,5.765224711777884,0.884199425946345,22.17,Cool Zone
cell_16.6528_74.2855,16.6528,74.2855,16.6553,74.288,water,0.08387923927396031,0.37686698477929614,0.04886389345925472,0,0.0,Shenda Park,26.750089277295608,76.63107196909831,5.458131736989823,0.8899069394975525,21.94,Cool Zone
cell_16.6528_74.2880,16.6528,74.288,16.6553,74.2905,built_up,0.1324043510292704,-0.10541571878719437,0.15058220431466027,15,11.40535317058151,Shenda Park,27.383054997321363,71.19811030318532,5.638436980378014,0.7250083705007685,27.25,Cool Zone
cell_16.6553_74.1905,16.6553,74.1905,16.6578,74.193,built_up,0.1209280707741625,-0.15968904359428351,0.15202056528804253,75,16.33102543690523,Shenda Park,27.898221097360015,69.3823357813014,4.4610595111354385,0.5751727433030096,30.15,Mild Zone
cell_16.6553_74.1930,16.6553,74.193,16.6578,74.1955,built_up,0.24859088079970695,-0.08889743511459183,0.131046740912294,45,7.42702757672409,Shenda Park,27.09848929119104,73.40769478881364,4.720039584358809,0.694661182079662,25.9,Cool Zone
cell_16.6553_74.1955,16.6553,74.1955,16.6578,74.198,built_up,0.11619888651505877,-0.13183894559464301,0.14972198910534,60,5.59721587951742,Shenda Park,27.35590063808188,70.55142560345199,4.425045906635714,0.6013876812514769,29.2,Cool Zone
cell_16.6553_74.1980,16.6553,74.198,16.6578,74.2005,built_up,0.1736325040293303,-0.13162593035609596,0.1244006771786792,45,8.952801806436781,Shenda Park,27.67914946552205,77.43644532055725,4.819964426856844,0.7314678614494307,27.6,Cool Zone
cell_16.6553_74.2005,16.6553,74.2005,16.6578,74.203,road,0.2566715661958307,-0.02871019742788017,0.1234902266172445,15,8.099243884992209,Shenda Park,27.2357897024787,74.77215280348847,5.810428894886395,0.8842996430182075,23.8,Cool Zone
cell_16.6553_74.2030,16.6553,74.203,16.6578,74.2055,built_up,0.17742206445740893,-0.10227222909115356,0.1569648113361282,15,8.982202788488046,Shenda Park,27.0616943441778,74.87985438051784,5.454603229469177,0.7822990652257616,25.63,Cool Zone
cell_16.6553_74.2055,16.6553,74.2055,16.6578,74.208,road,0.16936125606102284,-0.10998083720467225,0.13955237253842012,30,8.816473723869015,Shenda Park,27.00454871681695,77.43385952400978,4.9166822816224,0.7756116403463069,27.39,Cool Zone
cell_16.6553_74.2080,16.6553,74.208,16.6578,74.2105,built_up,0.20050401538069956,-0.10875222302338927,0.11504182312226711,15,7.3409102113552125,Shenda Park,27.361702864521217,76.94458892064891,4.983452049799956,0.7602661913362475,26.0,Cool Zone
cell_16.6553_74.2105,16.6553,74.2105,16.6578,74.213,water,0.07499134565212079,0.4593057385040523,0.06319264750036126,0,0.0,Shenda Park,27.123677794553288,74.32649042910826,5.209561013523194,0.9426442398620164,23.45,Cool Zone
cell_16.6553_74.2130,16.6553,74.213,16.6578,74.2155,water,0.040949940234448146,0.47043192978294335,0.0525895910043852,0,0.0,Shenda Park,26.55618813769587,75.10050805751038,5.727441092337045,0.9099073071506631,22.15,Cool Zone
cell_16.6553_74.2155,16.6553,74.2155,16.6578,74.218,water,0.0781230229116193,0.4047950238903375,0.07744021046269625,0,0.0,Shenda Park,27.190259382806943,78.61087084343119,5.267096832005309,0.8645086868133459,23.25,Cool Zone
cell_16.6553_74.2180,16.6553,74.218,16.6578,74.2205,water,0.03753011250020893,0.5711667759857321,0.06386522898868205,0,0.0,Shenda Park,26.538372329144476,76.17839311520692,5.085645875430869,0.7870196446457621,23.16,Cool Zone
cell_16.6553_74.2205,16.6553,74.2205,16.6578,74.223,built_up,0.12295345792570156,-0.17382659466255307,0.1613221857384246,250,11.986297634205659,Shenda Park,30.733317907107228,67.3091232455634,3.3506456095442134,0.2,41.0,Hot Zone
cell_16.6553_74.2230,16.6553,74.223,16.6578,74.2255,built_up,0.12981039043854853,-0.14955047349059641,0.12206708500730615,250,13.455580558751238,Shenda Park,30.724325279901496,66.8326204221774,3.282554131662043,0.2,42.3,Hot Zone
cell_16.6553_74.2255,16.6553,74.2255,16.6578,74.228,built_up,0.11623228973709275,-0.140965923583272,0.13280576639910263,250,10.566159902960337,Shenda Park,30.091814104705037,65.25670071168508,2.7887534432782908,0.2,42.91,Hot Zone
cell_16.6553_74.2280,16.6553,74.228,16.6578,74.2305,built_up,0.11852322217630067,-0.15798491502183723,0.14516729761379338,135,10.675510921335809,Shenda Park,29.66215873252326,71.00020206752083,4.058906056691972,0.39751434132271296,33.62,Mild Zone
cell_16.6553_74.2305,16.6553,74.2305,16.6578,74.233,built_up,0.14045836887831825,-0.14909992370114777,0.13693532995264346,180,13.172373315149065,Shenda Park,29.4800307854515,69.04409372653514,3.4497605040758654,0.2,37.84,Warm Zone
cell_16.6553_74.2330,16.6553,74.233,16.6578,74.2355,built_up,0.10605544997710481,-0.06577885829276954,0.16952358845377966,240,12.142489084637155,Shenda Park,30.589731191533545,67.4638732801384,3.049886379489065,0.2,39.07,Warm Zone
cell_16.6553_74.2355,16.6553,74.2355,16.6578,74.238,built_up,0.12992780442175497,-0.18250492394208778,0.14893096241241968,90,11.934869087140736,Shenda Park,28.48397456605487,73.03526301421697,4.982673723408144,0.4943772380075492,30.03,Mild Zone
cell_16.6553_74.2380,16.6553,74.238,16.6578,74.2405,built_up,0.11700005378525818,-0.06859100708658267,0.1451210620520722,250,16.83480618389618,Shenda Park,31.229397619064404,66.17009574623877,2.764928059966373,0.2,41.62,Hot Zone
cell_16.6553_74.2405,16.6553,74.2405,16.6578,74.243,built_up,0.11567827308335976,-0.2106069168846778,0.14924605145958686,250,11.433579838249553,Shenda Park,30.787871806985077,65.26396778184314,3.324795964303021,0.2,40.71,Hot Zone
cell_16.6553_74.2430,16.6553,74.243,16.6578,74.2455,built_up,0.1291273765092032,-0.09757349794529635,0.13634792615380825,250,13.183301904531264,Shenda Park,30.418892883936977,67.45279406029043,2.896411744861919,0.2,39.44,Warm Zone
cell_16.6553_74.2455,16.6553,74.2455,16.6578,74.248,built_up,0.08260955920851124,-0.15758950259781296,0.12100614654415501,250,5.766024061779611,Shenda Park,31.597738165330863,64.09572384355766,3.52927588986651,0.2,41.43,Hot Zone
cell_16.6553_74.2480,16.6553,74.248,16.6578,74.2505,built_up,0.10944211495467261,-0.12175234193179514,0.16474110446095935,250,17.53297728670298,Shenda Park,30.042726739858033,64.17412151274429,3.289811522222257,0.2,40.96,Hot Zone
cell_16.6553_74.2505,16.6553,74.2505,16.6578,74.253,built_up,0.11111008370609968,-0.17200314997050362,0.14571089281444835,75,12.19345765062301,Shenda Park,27.441254874735655,72.48130594461831,3.5624203868975783,0.6542675869714861,31.42,Mild Zone
cell_16.6553_74.2530,16.6553,74.253,16.6578,74.2555,built_up,0.21762213927129412,-0.017482850473647102,0.11523763665573378,30,8.77003214707877,Shenda Park,26.427794647717928,74.94886782040949,4.986046282159855,0.8266612735141308,25.31,Cool Zone
cell_16.6553_74.2555,16.6553,74.2555,16.6578,74.258,built_up,0.24957999710471576,-0.12304515671663208,0.08833781003885241,15,5.480941316998866,Shenda Park,27.287076710401934,75.38294822302376,5.468963145021033,0.8760329530264579,24.95,Cool Zone
cell_16.6553_74.2580,16.6553,74.258,16.6578,74.2605,built_up,0.12697245599068677,-0.17504189145339033,0.15043119897173454,60,13.84305810714923,Shenda Park,27.862466784667376,75.38046890891626,4.717563618898235,0.6371261589738381,29.44,Cool Zone
cell_16.6553_74.2605,16.6553,74.2605,16.6578,74.263,built_up,0.11120582198923681,-0.11337677673633975,0.19082857323458258,75,17.00806255370587,Shenda Park,27.985107346411944,73.4756862359666,4.5864902476559966,0.6487949381945233,31.41,Mild Zone
cell_16.6553_74.2630,16.6553,74.263,16.6578,74.2655,built_up,0.13148340093100383,-0.11377041758444743,0.13335635030388296,15,6.60108255364946,Shenda Park,27.576391988133807,74.29305659785719,5.785088873562454,0.7912791640507071,26.31,Cool Zone
cell_16.6553_74.2655,16.6553,74.2655,16.6578,74.268,bare,0.06993819470733453,-0.0907180144963318,0.24277952845756648,0,0.0,Shenda Park,26.026953886037525,77.77458255138042,6.009489128583653,0.7887070070145644,23.49,Cool Zone
cell_16.6553_74.2680,16.6553,74.268,16.6578,74.2705,built_up,0.13209304777185707,-0.2017955081214558,0.13072782849653536,105,11.302912990869617,Shenda Park,28.24959118666287,70.36722324339075,4.691130390965993,0.4497711295113602,30.76,Mild Zone
cell_16.6553_74.2705,16.6553,74.2705,16.6578,74.273,built_up,0.1344524767866768,-0.19230717840550104,0.15099378373855024,105,6.660901847907066,Shenda Park,28.84920826206196,72.14210885227226,4.359125624924304,0.6288915107399873,31.33,Mild Zone
cell_16.6553_74.2730,16.6553,74.273,16.6578,74.2755,vegetation,0.55,0.05,0.2,0,0.0,Shenda Park,27.365650447864578,75.95877569085101,5.710255220751292,0.7958911013749439,17.69,Cool Zone
cell_16.6553_74.2755,16.6553,74.2755,16.6578,74.278,vegetation,0.55,0.05,0.2,0,0.0,Shenda Park,26.3319980160359,73.83009703306256,5.500236936809673,0.8528100500877107,18.17,Cool Zone
cell_16.6553_74.2780,16.6553,74.278,16.6578,74.2805,built_up,0.13729817543952952,-0.17276489246472,0.1338502417619119,165,13.262567275158386,Shenda Park,29.864397244218537,72.22667733903583,3.4544678104818995,0.3090671794015449,36.06,Warm Zone
cell_16.6553_74.2805,16.6553,74.2805,16.6578,74.283,built_up,0.1368289205590141,-0.13071799058964734,0.18115865960171645,150,13.92597946985591,Shenda Park,28.151594815427924,69.06409537844355,3.7642442787813595,0.2,35.26,Warm Zone
cell_16.6553_74.2830,16.6553,74.283,16.6578,74.2855,water,0.04667250380592725,0.4567336770744512,0.06329538103536418,0,0.0,Shenda Park,26.508364845543888,75.9566861628099,5.316910420372674,0.8722441386661033,22.99,Cool Zone
cell_16.6553_74.2855,16.6553,74.2855,16.6578,74.288,water,0.02666316186645711,0.3907885807793895,0.04838344062686146,0,0.0,Shenda Park,26.700521949573286,74.4931528402358,5.599131497546694,0.7770442304826346,24.37,Cool Zone
cell_16.6553_74.2880,16.6553,74.288,16.6578,74.2905,built_up,0.18222299633158076,-0.10971665283026558,0.10474618099501116,45,7.968819507375161,Shenda Park,27.904506890457473,76.98348169453568,5.53231614385589,0.7063571095819424,26.97,Cool Zone
cell_16.6578_74.1905,16.6578,74.1905,16.6603,74.193,road,0.17004223485932368,-0.13488909312046599,0.14166030564609827,30,9.856118047682981,Shenda Park,27.261795343923197,73.35356927184343,5.628484650230574,0.6903155298821729,27.38,Cool Zone
cell_16.6578_74.1930,16.6578,74.193,16.6603,74.1955,built_up,0.10120721956952633,-0.1531940516253212,0.1728175780461591,120,4.611249630538188,Shenda Park,29.56684784023046,71.67852836059352,3.75505307709925,0.3899757700778697,33.38,Mild Zone
cell_16.6578_74.1955,16.6578,74.1955,16.6603,74.198,built_up,0.10092394161943238,-0.17542729536931784,0.13988485541631654,150,9.63451462858685,Shenda Park,29.183057242193893,67.74226108193388,3.8980672017330877,0.3643245115998493,36.23,Warm Zone
cell_16.6578_74.1980,16.6578,74.198,16.6603,74.2005,built_up,0.11785848795994804,-0.20423314322206143,0.18486821216479285,120,14.230994542049586,Shenda Park,29.200495205593505,71.7813694545093,4.197268019029176,0.41532835026163206,35.32,Warm Zone
cell_16.6578_74.2005,16.6578,74.2005,16.6603,74.203,built_up,0.15343630593734914,-0.187123051242271,0.1919738339190468,135,9.219921505836528,Shenda Park,29.598678250661244,69.20023847551552,3.7311064942124528,0.372414792578484,34.77,Mild Zone
cell_16.6578_74.2030,16.6578,74.203,16.6603,74.2055,built_up,0.126652768482988,-0.190082335861444,0.10103002082319304,105,8.852484856229717,Shenda Park,28.112072071585867,71.25247096116976,4.082575263718608,0.5981081878004746,32.17,Mild Zone
cell_16.6578_74.2055,16.6578,74.2055,16.6603,74.208,built_up,0.13776362084565252,-0.1244033614857393,0.1608873885940119,60,11.058725530093481,Shenda Park,28.688406750117654,75.87841143302931,5.004687964996174,0.6305565727306441,29.86,Cool Zone
cell_16.6578_74.2080,16.6578,74.208,16.6603,74.2105,road,0.15599896917520575,-0.022157883793937933,0.1367756291490934,30,5.97390804304973,Shenda Park,27.25562204798881,76.90297670670151,5.41075863248211,0.7338330394870823,25.65,Cool Zone
cell_16.6578_74.2105,16.6578,74.2105,16.6603,74.213,water,0.04628486398974099,0.4109346259925585,0.06501855712677077,0,0.0,Shenda Park,26.762412600997504,74.52544168663987,5.407516512164662,0.8727853430958397,22.59,Cool Zone
cell_16.6578_74.2130,16.6578,74.213,16.6603,74.2155,water,0.031223926998629515,0.4542827185272633,0.06706798881915349,0,0.0,Shenda Park,27.44314030157151,73.71904618927364,6.162009004323093,0.7868312303034719,24.86,Cool Zone
cell_16.6578_74.2155,16.6578,74.2155,16.6603,74.218,water,0.03523733356630952,0.4513353744253737,0.04982898085117668,0,0.0,Shenda Park,26.99787331235058,73.726566788535,5.701535921377297,0.791235459938427,23.67,Cool Zone
cell_16.6578_74.2180,16.6578,74.218,16.6603,74.2205,water,0.04908984135212216,0.45043182459444786,0.06448076587618581,0,0.0,Shenda Park,26.222735848114496,76.35393668430389,5.879194329068053,0.8353183366548232,21.51,Cool Zone
cell_16.6578_74.2205,16.6578,74.2205,16.6603,74.223,built_up,0.07954651831172785,-0.12296914556463763,0.18615144778137133,250,13.046947921436383,Shenda Park,29.844029195605533,66.99788913924384,3.372334319342407,0.2,40.18,Hot Zone
cell_16.6578_74.2230,16.6578,74.223,16.6603,74.2255,built_up,0.1278403492012438,-0.08685752876230046,0.16649698362366308,250,12.730801498035675,Shenda Park,30.93483631128493,65.1621947766736,3.1994501024719537,0.2,41.38,Hot Zone
cell_16.6578_74.2255,16.6578,74.2255,16.6603,74.228,built_up,0.10955009913447003,-0.07757774068357642,0.14926194603875884,250,12.56033236179655,Shenda Park,29.81495383356339,65.02800265753815,2.690288445234729,0.2,41.66,Hot Zone
cell_16.6578_74.2280,16.6578,74.228,16.6603,74.2305,built_up,0.13022463364951728,-0.1652934398761332,0.15182820614470743,250,9.75340576833555,Shenda Park,30.23234886243974,63.00767355368228,3.2235881129369033,0.2,41.29,Hot Zone
cell_16.6578_74.2305,16.6578,74.2305,16.6603,74.233,built_up,0.13537924020501238,-0.23422306158620995,0.11927864135626255,250,8.887037611518815,Shenda Park,31.65936982946179,64.06509866998789,2.9469407302156814,0.2,42.45,Hot Zone
cell_16.6578_74.2330,16.6578,74.233,16.6603,74.2355,built_up,0.14310279453048566,-0.12228160540254474,0.09914250935311993,250,11.56678112059595,Shenda Park,31.56707303268098,63.90158994247951,3.0947182399247897,0.2,41.48,Hot Zone
cell_16.6578_74.2355,16.6578,74.2355,16.6603,74.238,built_up,0.09174529700362949,-0.1779377928794936,0.1434131746385735,250,14.702019554022778,Shenda Park,29.751121454390237,67.38985712082534,3.1099232006157047,0.2,42.61,Hot Zone
cell_16.6578_74.2380,16.6578,74.238,16.6603,74.2405,built_up,0.14944457690610946,-0.15266463912150133,0.1734870703376028,250,11.601962639699504,Shenda Park,30.768525471879787,68.33485953589407,2.906846221128848,0.2,40.08,Hot Zone
cell_16.6578_74.2405,16.6578,74.2405,16.6603,74.243,built_up,0.1700645234194337,-0.18690496452682398,0.18029958637250074,250,11.038039738139716,Shenda Park,30.843738324154064,64.69210661970412,3.3583457700057457,0.2,39.99,Warm Zone
cell_16.6578_74.2430,16.6578,74.243,16.6603,74.2455,built_up,0.07099762033384341,-0.11077595602371654,0.14463005815162486,250,8.29490245406982,Shenda Park,31.64077581510674,66.09254598191134,3.353998415602228,0.2,41.02,Hot Zone
cell_16.6578_74.2455,16.6578,74.2455,16.6603,74.248,built_up,0.1394160432794746,-0.030550478812452597,0.14420818933682641,250,12.753815118737808,Shenda Park,31.001887420632332,64.38271539638569,3.9103246252432617,0.2,41.48,Hot Zone
cell_16.6578_74.2480,16.6578,74.248,16.6603,74.2505,built_up,0.11434553939287906,-0.13851925241487806,0.1486715764899506,250,11.708496298905464,Shenda Park,30.631837618305788,67.5134675810665,2.817615011298593,0.2,42.24,Hot Zone
cell_16.6578_74.2505,16.6578,74.2505,16.6603,74.253,built_up,0.13357669754429627,-0.23299917860641076,0.12328702241563413,250,12.286311902088922,Shenda Park,30.437434599027622,65.21706838231168,2.152573418276079,0.2,41.8,Hot Zone
cell_16.6578_74.2530,16.6578,74.253,16.6603,74.2555,built_up,0.0841374662342298,-0.07990204749143691,0.1425449205524928,250,13.498520927297207,Shenda Park,30.230909285682856,64.55675238983507,2.3164139291611074,0.2,42.13,Hot Zone
cell_16.6578_74.2555,16.6578,74.2555,16.6603,74.258,built_up,0.1264793039164181,-0.0686319275799558,0.14352653543045973,240,10.033299250326731,Shenda Park,30.25394269407706,63.69216954062183,2.853432670579678,0.2,41.75,Hot Zone
cell_16.6578_74.2580,16.6578,74.258,16.6603,74.2605,vegetation,0.55,0.05,0.2,0,0.0,Shenda Park,26.467791824730032,79.37645077435096,5.682748772206152,0.8395327078317575,18.08,Cool Zone
cell_16.6578_74.2605,16.6578,74.2605,16.6603,74.263,road,0.18722794436933177,-0.016471287254307715,0.09615539649207694,45,9.5718757445605,Shenda Park,26.856068406831604,71.62912590127789,4.397206685062363,0.7312093685100589,27.84,Cool Zone
cell_16.6578_74.2630,16.6578,74.263,16.6603,74.2655,built_up,0.12952809374015214,-0.1481571305550876,0.15481436965900144,60,13.651685059765331,Shenda Park,28.201706735678382,76.62098662990981,4.755395396143577,0.6808054812452088,29.35,Cool Zone
cell_16.6578_74.2655,16.6578,74.2655,16.6603,74.268,road,0.19830357534183626,-0.043699519684621484,0.08885795041379527,45,5.518228211408337,Shenda Park,27.893744221653606,72.8146303802687,5.334642070056432,0.7830388365344648,27.22,Cool Zone
cell_16.6578_74.2680,16.6578,74.268,16.6603,74.2705,built_up,0.14559082703708665,-0.08814444730987595,0.12329871885419832,90,17.69170810017712,Shenda Park,28.23097434353678,71.71265277681341,4.517797566789326,0.497329325408602,32.36,Mild Zone
cell_16.6578_74.2705,16.6578,74.2705,16.6603,74.273,built_up,0.11186709346731841,-0.09080702308793487,0.15555021940829838,105,12.15527599357259,Shenda Park,28.18330064640497,74.10021734684103,5.302887097267512,0.48161903861464855,32.22,Mild Zone
cell_16.6578_74.2730,16.6578,74.273,16.6603,74.2755,vegetation,0.55,0.05,0.2,0,0.0,Shenda Park,27.055222183457253,74.67350561012142,5.1890334746166875,0.8876713846616788,18.79,Cool Zone
