cell_id,lat,lon,zone_name,hsi_class,ndvi,ndwi,albedo,building_density,building_height,air_temp,humidity,wind_speed,svf,lulc_water,lulc_vegetation,lulc_built_up,lulc_road,lulc_bare,ndvi_x_albedo,bldg_density_x_wind
cell_16.6528_74.2230,16.6528,74.223,Shenda Park,Hot Zone,0.14879213,0.06928683,-0.011632791,5.7949843,0.20432165,0.8481153,0.15326168,-0.45489955,0.7393145,8.4800624e-05,0.019612137,0.003260335,8.123058e-05,1.4691743e-05,0.050306235,0.3086046
cell_16.6528_74.2255,16.6528,74.2255,Shenda Park,Mild Zone,0.35470194,0.6978509,0.03846535,-3.4828634,0.48296186,0.96390456,0.28321475,-0.54894143,-0.48232445,0.0002285596,0.027832454,0.01323957,-8.980489e-05,1.9047906e-05,0.057400312,0.92920184
cell_16.6528_74.2280,16.6528,74.228,Shenda Park,Mild Zone,0.25861967,0.68780506,-0.061449077,-3.1400394,0.5437221,1.0228434,0.29895544,-0.5642226,-0.19805737,0.0002285596,0.027832454,0.01323957,-0.00010387384,1.9047906e-05,0.17228433,0.98298407
cell_16.6528_74.2305,16.6528,74.2305,Shenda Park,Cool Zone,0.173613,0.36631125,0.0839247,-6.9879527,0.0009325517,0.9242893,0.17307088,-0.547437,-0.5917485,0.0002285596,0.048459888,0.0007459415,-0.010889695,1.5038424e-05,0.043317847,0.38776782
cell_16.6528_74.2330,16.6528,74.233,Shenda Park,Cool Zone,-0.7676251,0.31635386,-0.016229767,-4.9692917,0.1106241,0.76622283,0.6093489,-0.75910205,-0.7536036,0.0002285596,0.024943054,0.011723734,0.0012130847,1.5038424e-05,-0.38393298,0.816815
cell_16.6528_74.2355,16.6528,74.2355,Shenda Park,Cool Zone,0.07051928,0.1180047,-0.023681294,-5.278,0.02584544,0.91042894,0.543726,-0.66559136,-0.7863668,0.0002285596,0.023387667,0.013368582,6.269394e-05,1.5038424e-05,0.023096524,0.5419525
cell_16.6528_74.2380,16.6528,74.238,Shenda Park,Cool Zone,0.078888714,0.5141477,0.08451689,-6.99403,-0.0047545657,0.8268642,0.16390333,-0.5840574,-0.6847907,0.0002285596,0.048459888,0.013182334,-6.0581766e-05,1.5038424e-05,-0.07154272,0.4607852
cell_16.6528_74.2405,16.6528,74.2405,Shenda Park,Warm Zone,-0.11489989,-0.20323615,-0.020372428,0.82558584,0.35800567,0.76474285,0.049342684,-0.5871639,-0.4904485,0.0002285596,0.024746122,0.0016460541,-5.9336646e-05,1.9047906e-05,-0.21808074,0.29276562
cell_16.6528_74.2430,16.6528,74.243,Shenda Park,Hot Zone,0.13731965,0.41681024,0.0022116185,6.4456043,0.337815,0.73678434,0.23034482,-0.48932797,0.7955155,0.0002285596,0.020539068,0.004877774,9.223055e-05,1.4691743e-05,-0.020167248,0.2755968
cell_16.6528_74.2455,16.6528,74.2455,Shenda Park,Mild Zone,-0.046682756,0.20363662,-0.20418948,-0.4022211,0.043785065,0.73245525,-0.015750553,-0.62666935,0.17644605,0.0002285596,0.020195026,0.0016460541,6.269394e-05,1.9047906e-05,-0.25534225,0.2590061
cell_16.6528_74.2480,16.6528,74.248,Shenda Park,Mild Zone,-0.16085751,0.49609002,0.023853153,0.829715,0.10590076,0.5653957,0.065633826,-0.633268,0.08219606,0.0002285596,0.021121956,0.0048042666,7.653225e-05,1.9047906e-05,0.011196628,0.27370816
cell_16.6528_74.2505,16.6528,74.2505,Shenda Park,Cool Zone,0.03320098,0.43845004,0.017261423,-6.9191914,0.22575282,0.8281308,0.120039076,-0.74496067,-0.86673564,0.0002285596,0.057452515,0.010043099,-6.0581766e-05,1.5038424e-05,-0.19876102,0.45905185
cell_16.6528_74.2530,16.6528,74.253,Shenda Park,Cool Zone,-0.5961745,0.24614272,0.018061165,-4.967351,0.13034725,0.81388825,0.52646255,-0.7228742,-0.5019239,0.0002285596,0.024943054,0.011723615,0.0012130847,1.9047906e-05,-0.25616464,0.8219514
cell_16.6528_74.2555,16.6528,74.2555,Shenda Park,Cool Zone,-0.3096603,0.36671627,-0.025426043,-5.40963,-0.0139435,0.8264357,0.54106194,-0.6530761,-0.7855546,0.0002285596,0.023584599,0.009966591,-0.00053876615,1.5038424e-05,-0.38892195,0.58131844
cell_16.6528_74.2580,16.6528,74.258,Shenda Park,Cool Zone,-0.11232171,-0.023586547,0.016681151,-7.006837,0.0065731043,0.78941137,0.0734612,-0.59838605,-0.6544358,0.0002285596,0.048262954,0.015139399,-7.0179085e-05,1.5038424e-05,-0.060048662,0.4701461
cell_16.6528_74.2605,16.6528,74.2605,Shenda Park,Mild Zone,0.28503805,0.39183807,0.02770918,-3.5455167,0.10255026,1.2033561,0.30486715,-0.6083941,-0.54430634,0.0002285596,0.024943054,0.01323957,-9.963708e-05,1.9047906e-05,0.17374688,0.9104188
cell_16.6528_74.2630,16.6528,74.263,Shenda Park,Cool Zone,-0.40591565,0.3459853,0.0055559585,-5.097706,0.0935202,0.7866122,0.60889405,-0.72866267,-0.7274833,0.0002285596,0.024943054,0.011723615,-0.0028458578,1.5038424e-05,-0.21789747,0.5623096
cell_16.6528_74.2655,16.6528,74.2655,Shenda Park,Cool Zone,0.35167408,0.40365258,0.041279748,-7.0080776,0.28244284,0.919042,0.13542527,-0.5487109,-0.69060785,0.0002285596,0.057452515,0.013240033,6.0623293e-05,1.5038424e-05,0.2143161,0.4587085
cell_16.6528_74.2680,16.6528,74.268,Shenda Park,Mild Zone,0.21598907,0.2214601,0.01134199,-5.138053,0.18893337,1.0396833,0.5152743,-0.5615165,-0.46361715,0.0002285596,0.024943054,0.00029247807,-0.011200665,1.9047906e-05,0.15055293,0.566338
cell_16.6528_74.2705,16.6528,74.2705,Shenda Park,Cool Zone,-0.39978144,0.03674299,0.017266769,-5.3681645,0.04801491,0.84414417,0.469195,-0.6835608,-0.58927023,0.0002285596,0.023387667,0.011723615,-0.0028458578,1.9047906e-05,-0.12951408,0.59973073
cell_16.6528_74.2730,16.6528,74.273,Shenda Park,Cool Zone,-2.26093,-0.17425635,-0.059508223,-8.984315,-0.21772198,0.8456364,-0.09595046,-0.7692486,-0.8832488,0.0002285596,-0.4149968,-0.0002784661,-0.00053118385,1.5038424e-05,-0.7842399,-0.4716563
cell_16.6528_74.2755,16.6528,74.2755,Shenda Park,Mild Zone,0.14904062,0.102907255,0.0013708854,-5.156507,0.19817324,1.0132338,0.49765882,-0.58147407,-0.50982344,0.0002285596,0.024746122,0.013215532,5.0313858e-05,1.9047906e-05,0.17138281,0.5671484
cell_16.6528_74.2780,16.6528,74.278,Shenda Park,Hot Zone,0.04107594,0.32829028,-0.030630229,3.0540771,0.32728124,0.79103124,0.1871818,-0.74081486,0.9552038,0.0002285596,0.020873172,0.0048619458,-1.5428086e-05,1.4691743e-05,0.009147804,0.28686345
cell_16.6528_74.2805,16.6528,74.2805,Shenda Park,Warm Zone,0.10396192,0.26990688,0.09019435,2.4819305,0.24201286,0.7951359,0.12776473,-0.7261904,0.5528631,0.0002285596,0.020195026,0.0048691235,-0.00010553091,1.9047906e-05,0.15282166,0.29641712
cell_16.6528_74.2830,16.6528,74.283,Shenda Park,Cool Zone,0.5639574,-0.5000638,0.09893394,-8.052218,-0.23746364,0.85747963,0.14119358,-0.78609437,-1.0458133,-7.9564474e-05,0.081301115,-8.581657e-05,-0.00010689178,0.0008299281,0.21893005,-0.36134762
cell_16.6528_74.2855,16.6528,74.2855,Shenda Park,Cool Zone,0.5181377,-0.4767044,0.2699973,-8.027484,-0.23781908,0.8754608,0.17593378,-0.7950817,-1.0889276,-7.6728335e-05,0.081301115,-8.581657e-05,-0.00010689178,0.00052413286,0.21130356,-0.36765042
cell_16.6528_74.2880,16.6528,74.288,Shenda Park,Cool Zone,0.13866906,0.8311542,0.07503708,-7.008854,0.11472243,0.69703174,0.2016103,-0.58192307,-0.71382415,0.0002285596,0.060341917,0.013181619,-6.0581766e-05,1.5038424e-05,0.035534613,0.4395961
cell_16.6553_74.1905,16.6553,74.1905,Shenda Park,Mild Zone,-0.13546777,0.3211245,0.0012715601,-3.1263256,0.039338358,0.8945582,0.14697564,-0.604926,-0.59986264,0.0002285596,0.024943054,0.013876317,6.739229e-05,1.9047906e-05,0.18050787,0.9425827
cell_16.6553_74.1930,16.6553,74.193,Shenda Park,Mild Zone,0.18444523,0.20417202,0.030144075,-5.1205215,0.092136666,1.0892515,0.5745334,-0.5779147,-0.49232635,0.0002285596,0.024746122,0.0004402432,-0.011200665,1.9047906e-05,0.21219352,0.5759458
cell_16.6553_74.1955,16.6553,74.1955,Shenda Park,Mild Zone,0.1465058,0.31601673,-0.09243804,-3.4863758,0.13269855,1.2631426,0.113631554,-0.6464181,-0.5323943,0.0002285596,0.024943054,0.013239975,1.7032085e-05,1.9047906e-05,-0.0631536,0.9592103
cell_16.6553_74.1980,16.6553,74.198,Shenda Park,Cool Zone,-0.6406376,0.24946527,0.0053295363,-5.0616293,0.02771547,0.88782066,0.5762113,-0.7303363,-0.58938783,0.0002285596,0.023584599,-0.0005145338,-0.0028458578,1.9047906e-05,-0.048932422,0.8282021
cell_16.6553_74.2005,16.6553,74.2005,Shenda Park,Cool Zone,-0.9869385,0.35664624,0.023825219,-7.2583256,0.021280814,0.83139354,0.11718429,-0.7376609,-0.73689973,0.0002285596,0.048459888,0.013233683,-0.0005407811,1.5038424e-05,-0.38528502,0.6626716
cell_16.6553_74.2030,16.6553,74.203,Shenda Park,Cool Zone,0.09576265,0.40994385,0.043332357,-6.988282,0.28323606,0.847208,0.1269235,-0.5214034,-0.67276245,0.0002285596,0.057452515,0.0002617041,-0.0030558843,1.5038424e-05,0.24105749,0.46540338
cell_16.6553_74.2055,16.6553,74.2055,Shenda Park,Cool Zone,0.25723767,-0.09927822,-0.011624597,-5.217483,0.16449733,0.8997007,0.4571925,-0.64096296,-0.5489234,0.0002285596,0.024746122,0.013338043,6.269394e-05,1.9047906e-05,0.026156059,0.5515802
cell_16.6553_74.2080,16.6553,74.208,Shenda Park,Cool Zone,-0.14509308,0.4897331,0.032886162,-7.0079274,0.16067533,0.6177777,0.11579698,-0.6023454,-0.74224454,0.0002285596,0.057452515,0.015041389,-6.0581766e-05,1.5038424e-05,-0.11458696,0.4983432
cell_16.6553_74.2105,16.6553,74.2105,Shenda Park,Cool Zone,0.51954895,-0.42473766,0.06642785,-7.9502563,-0.2284501,0.90243465,0.22352462,-0.551984,-0.734692,-5.2961812e-05,0.08879217,6.272564e-05,-0.00010689178,-1.0109259e-05,0.47337106,-0.36572576
cell_16.6553_74.2130,16.6553,74.213,Shenda Park,Cool Zone,0.5761219,-0.26853344,-0.058386743,-7.9909062,-0.2364463,0.90917534,0.22678478,-0.77236634,-1.1699975,-5.2961812e-05,0.081301115,-8.581657e-05,-0.00010689178,0.0041035223,0.205281,-0.35306698
cell_16.6553_74.2155,16.6553,74.2155,Shenda Park,Cool Zone,0.5432755,-0.6296821,0.04249032,-7.955657,-0.22426696,0.91867536,0.2208932,-0.5736028,-0.76049274,-5.2961812e-05,0.08879217,6.57739e-05,-0.00010689178,-0.00013233454,0.4755162,-0.37619773
cell_16.6553_74.2180,16.6553,74.218,Shenda Park,Cool Zone,0.6020306,-0.43497038,0.05823276,-7.963244,-0.22196017,0.8985964,0.22309068,-0.5916487,-0.80317175,-5.2961812e-05,0.08879217,6.272564e-05,-0.00010689178,-1.2488395e-05,0.4861444,-0.37117982
cell_16.6553_74.2205,16.6553,74.2205,Shenda Park,Hot Zone,0.09880232,0.12734942,-0.014940953,6.397549,-0.085689604,0.90603036,-0.008532259,-0.4046128,0.7574115,0.0002285596,0.019612137,0.003507637,5.0313858e-05,1.4691743e-05,0.19010924,0.30368406
cell_16.6553_74.2230,16.6553,74.223,Shenda Park,Hot Zone,0.08188406,0.34348193,0.045035053,6.4045863,-0.26863736,0.74193364,0.21366028,-0.44844368,0.75218886,0.0002285596,0.019180613,0.0035316753,3.122099e-05,1.4691743e-05,0.11157766,0.3026939
cell_16.6553_74.2255,16.6553,74.2255,Shenda Park,Hot Zone,-0.07777669,0.1032384,0.0033728,6.308333,0.08866933,0.6712535,-0.0038653894,-0.33090368,0.73481625,8.4800624e-05,0.019612137,0.0033044852,0.00013119858,-0.000101703474,-0.020843597,0.30729288
cell_16.6553_74.2280,16.6553,74.228,Shenda Park,Mild Zone,0.11615095,0.17203245,-0.12705952,1.160594,-0.027754,0.88084364,0.06752719,-0.81367517,-0.03619059,0.0002285596,0.020195026,0.0049050087,3.177722e-05,1.9047906e-05,-0.19197132,0.29422927
cell_16.6553_74.2305,16.6553,74.2305,Shenda Park,Hot Zone,0.20968778,0.30075353,0.09526539,2.9693055,0.16610833,0.77656996,0.10175627,-0.77381766,1.0104553,0.0002285596,0.021793773,0.0048691235,-0.00010318942,1.9047906e-05,0.33486167,0.30464604
cell_16.6553_74.2330,16.6553,74.233,Shenda Park,Hot Zone,0.1715372,0.43768752,-0.1154952,6.1517,0.2109347,0.7287969,0.22692151,-0.57395947,0.781382,0.0002285596,0.020539068,0.0023119098,-3.9238657e-06,1.4691743e-05,-0.21772859,0.27760154
cell_16.6553_74.2355,16.6553,74.2355,Shenda Park,Mild Zone,0.15848808,0.6093071,-0.095274456,-2.3943539,0.40676507,0.9243975,0.275669,-0.6896021,-0.4444413,0.0002285596,0.027832454,0.00895731,2.6992857e-05,1.9047906e-05,-0.16213334,0.95068264
cell_16.6553_74.2380,16.6553,74.238,Shenda Park,Hot Zone,0.11834219,-0.25405988,-0.013446014,6.417104,-0.007265185,0.876724,-0.029825384,-0.41233033,0.75341696,8.4800624e-05,0.019415205,0.0033056245,3.177722e-05,1.4691743e-05,-0.08049582,0.29909542
cell_16.6553_74.2405,16.6553,74.2405,Shenda Park,Hot Zone,0.15655227,0.6255315,0.015979733,6.392737,-0.05856763,0.6730217,0.23418112,-0.47885054,0.795084,0.0002285596,0.020539068,0.004864629,3.177722e-05,1.4691743e-05,-0.039198924,0.2804848
cell_16.6553_74.2430,16.6553,74.243,Shenda Park,Hot Zone,0.08033302,-0.11795753,-0.03899402,6.417164,0.061011534,0.9548326,0.0073703076,-0.42132723,0.77047396,0.0002285596,0.019415205,0.0035320807,1.7032085e-05,1.4691743e-05,0.02020746,0.3152078
cell_16.6553_74.2455,16.6553,74.2455,Shenda Park,Hot Zone,-0.16670376,0.0103609,0.04256475,6.272812,0.22266252,0.6833618,0.13560246,-0.4095991,0.78132486,0.0002285596,0.019612137,0.0035179453,9.223055e-05,1.4691743e-05,-0.14758626,0.3211134
cell_16.6553_74.2480,16.6553,74.248,Shenda Park,Hot Zone,0.0904939,0.15725547,0.048600044,6.366233,-0.1340512,0.8852302,0.10307578,-0.36168456,0.764214,8.4800624e-05,0.019612137,0.003332387,6.269394e-05,1.4691743e-05,0.024326172,0.3190273
cell_16.6553_74.2505,16.6553,74.2505,Shenda Park,Mild Zone,-0.009853637,0.1768532,-0.2075272,-3.1453586,0.4858752,0.94106185,0.106705226,-0.53391427,-0.49809587,0.0002285596,0.024943054,0.009991749,2.6992857e-05,1.9047906e-05,-0.26405808,1.0106115
cell_16.6553_74.2530,16.6553,74.253,Shenda Park,Cool Zone,-0.1740785,0.98109114,-0.002174616,-5.331922,0.08033061,0.7037566,0.5907674,-0.5639456,-0.49929523,0.0002285596,0.027832454,-0.0005144148,-0.0031720456,1.9047906e-05,-0.01617404,0.5482444
cell_16.6553_74.2555,16.6553,74.2555,Shenda Park,Cool Zone,0.07592728,0.78685653,0.05783189,-6.9745975,0.18469156,0.61549175,0.2558214,-0.61690164,-0.72815555,0.0002285596,0.060341917,0.013343425,-5.6340778e-05,1.5038424e-05,-0.041722544,0.4272931
cell_16.6553_74.2580,16.6553,74.258,Shenda Park,Cool Zone,0.1149611,-0.031692103,-0.16405085,-3.1600342,0.19791383,1.1183375,0.12609212,-0.72785854,-0.17461714,0.0002285596,0.024746122,0.012063225,7.653225e-05,1.9047906e-05,-0.10167832,0.97776455
cell_16.6553_74.2605,16.6553,74.2605,Shenda Park,Mild Zone,0.26753736,0.2661904,0.056567274,-3.127913,0.49380654,1.0358685,0.062778786,-0.5270706,-0.4482414,0.0002285596,0.024943054,0.013239975,-8.980489e-05,1.9047906e-05,0.040904053,1.019165
cell_16.6553_74.2630,16.6553,74.263,Shenda Park,Cool Zone,-0.006831734,0.28835395,-0.06541861,-6.8629775,0.03613578,0.87353396,0.115050435,-0.72446626,-0.70966756,0.0002285596,0.048459888,0.010043099,-0.00053118385,-9.849168e-05,-0.35955906,0.46100563
cell_16.6553_74.2655,16.6553,74.2655,Shenda Park,Cool Zone,-2.1894462,-0.19551104,-0.060807437,-8.994917,-0.21571125,0.876177,-0.047080144,-0.87613946,-1.0752795,0.0002285596,-0.4149968,-0.00043871382,-0.00053118385,0.0041047954,-0.75002813,-0.47919554
cell_16.6553_74.2680,16.6553,74.268,Shenda Park,Mild Zone,-0.0545459,0.318224,-0.027220575,-0.48953918,0.012289144,0.7201037,0.03242546,-0.6513912,-0.027818399,0.0002285596,0.020195026,0.004835924,6.269394e-05,1.9047906e-05,-0.0860354,0.28102317
cell_16.6553_74.2705,16.6553,74.2705,Shenda Park,Warm Zone,0.16481505,0.2423109,0.056313854,-0.55038923,0.12114714,0.86807054,0.051032573,-0.6009917,-0.53731805,0.0002285596,0.024943054,0.0048943385,6.269394e-05,1.9047906e-05,0.069844924,0.30238852
cell_16.6553_74.2730,16.6553,74.273,Shenda Park,Cool Zone,0.12782954,0.17631936,-0.055300184,-7.736816,-0.2021194,0.837313,0.04196018,-0.79161936,-0.76773417,0.0002285596,0.08077434,0.00071210513,-0.00040507983,0.00052183704,-0.5538288,-0.3126123
cell_16.6553_74.2755,16.6553,74.2755,Shenda Park,Cool Zone,-2.2366366,-0.17832229,-0.075295,-8.986135,-0.21482557,0.8669404,-0.055155978,-0.8084388,-0.88878083,0.0002285596,-0.4149968,-0.00028712332,-0.00053118385,-9.849168e-05,-0.7806891,-0.47091216
cell_16.6553_74.2780,16.6553,74.278,Shenda Park,Warm Zone,0.18741494,0.37214848,0.053577207,2.4434998,0.034541078,0.6946196,0.07990178,-0.8259504,0.6343295,0.0002285596,0.021121956,0.0048691235,-0.00010318942,1.9047906e-05,0.21123037,0.26873073
cell_16.6553_74.2805,16.6553,74.2805,Shenda Park,Warm Zone,0.047154248,0.3825644,-0.06795602,1.7081469,0.3289343,0.708025,0.26353008,-0.7267732,0.18124503,0.0002285596,0.020539068,0.0049398514,9.223055e-05,1.4691743e-05,-0.16433752,0.26292422
cell_16.6553_74.2830,16.6553,74.283,Shenda Park,Cool Zone,0.56401026,-0.43225938,0.06481302,-8.0607,-0.24086261,0.8387301,0.13839029,-0.7795383,-1.1000086,-5.2961812e-05,0.081301115,-8.581657e-05,-0.00010689178,0.0008299281,0.19673848,-0.36677027
cell_16.6553_74.2855,16.6553,74.2855,Shenda Park,Cool Zone,0.4501398,-0.48613653,-0.0025773551,-8.075006,-0.23167485,0.84437215,0.09906475,-0.5832806,-0.77963424,-0.00013713575,0.081301115,6.272564e-05,-0.00010689178,-1.0109259e-05,0.248063,-0.34367618
cell_16.6553_74.2880,16.6553,74.288,Shenda Park,Cool Zone,-0.07510893,0.29955614,0.028113537,-4.9491253,0.0013368295,0.81315213,0.6101655,-0.675936,-0.5371596,0.0002285596,0.023584599,0.013182334,-6.8164125e-05,1.9047906e-05,-0.010227067,0.5804314
cell_16.6578_74.1905,16.6578,74.1905,Shenda Park,Cool Zone,-0.27448294,-0.10527077,-0.0037972252,-5.3342175,0.076892406,0.871622,0.46958584,-0.63639754,-0.76444805,0.0002285596,0.024746122,-0.0015137622,-0.0028458578,1.5038424e-05,-0.025693564,0.5678787
cell_16.6578_74.1930,16.6578,74.193,Shenda Park,Mild Zone,0.1125543,0.5414572,-0.044362616,0.8237846,0.07696314,0.7529384,0.04536545,-0.74676526,0.06420266,0.0002285596,0.021121956,0.0049046036,7.653225e-05,1.9047906e-05,-0.07182206,0.26830658
cell_16.6578_74.1955,16.6578,74.1955,Shenda Park,Warm Zone,-0.166989,0.4318294,0.07239927,1.4113238,0.22712621,0.5815345,0.10327933,-0.6770831,-0.10908897,0.0002285596,0.020539068,0.004825741,9.223055e-05,1.4691743e-05,0.0063742884,0.23387483
cell_16.6578_74.1980,16.6578,74.198,Shenda Park,Warm Zone,0.2374158,0.3648662,0.040403794,0.8667874,0.2910076,0.8454826,0.052466903,-0.6283215,0.00934324,0.0002285596,0.020195026,0.0048691235,-8.980489e-05,1.9047906e-05,0.123368695,0.2841524
cell_16.6578_74.2005,16.6578,74.2005,Shenda Park,Warm Zone,0.27223185,0.20452663,-0.031149812,1.516838,0.27408782,0.8954431,0.08732031,-0.7880908,0.54740703,0.0002285596,0.020195026,0.004894281,-0.00010387384,1.9047906e-05,0.1553962,0.2947582
cell_16.6578_74.2030,16.6578,74.203,Shenda Park,Mild Zone,0.10209021,0.015624773,-0.16973205,-0.4884081,0.43723693,0.9366732,0.07309306,-0.63238823,-0.5728574,0.0002285596,0.024943054,0.0049050087,9.223055e-05,1.9047906e-05,-0.16108917,0.3055806
cell_16.6578_74.2055,16.6578,74.2055,Shenda Park,Mild Zone,0.18266243,0.75327885,0.03565438,-3.4323666,0.62634134,1.0932702,0.30023175,-0.5817341,-0.5343382,0.0002285596,0.027832454,0.01323957,4.769335e-05,1.9047906e-05,0.21382979,0.99173236
cell_16.6578_74.2080,16.6578,74.208,Shenda Park,Cool Zone,-0.3090421,0.1549011,0.002046192,-5.352828,0.050598875,0.8734699,0.49717715,-0.5615595,-0.5721185,0.0002285596,0.023387667,0.010484246,-0.0028458578,1.9047906e-05,-0.110177875,0.5689923
cell_16.6578_74.2105,16.6578,74.2105,Shenda Park,Cool Zone,0.43237638,-0.5603902,0.07633212,-8.077785,-0.23247105,0.8037629,0.15318733,-0.61385673,-0.91793025,-0.00013713575,0.081301115,-8.581657e-05,-0.00010689178,-0.00012363934,0.20670095,-0.35066238
cell_16.6578_74.2130,16.6578,74.213,Shenda Park,Cool Zone,0.5843597,-0.3604329,0.41352776,-7.8272247,-0.2193445,0.8857756,0.14319044,-0.5908056,-0.75557125,-7.6728335e-05,0.08879217,6.1720886e-05,-0.00010689178,-0.00012363934,0.5466134,-0.32779983
cell_16.6578_74.2155,16.6578,74.2155,Shenda Park,Cool Zone,0.66214716,-0.46508482,0.12366102,-7.9299974,-0.22472467,0.9863862,0.14216933,-0.67675555,-0.83959824,-5.2961812e-05,0.08879217,-8.581657e-05,-0.00010689178,-0.00012601848,0.53263766,-0.34364808
cell_16.6578_74.2180,16.6578,74.218,Shenda Park,Cool Zone,0.5351238,-0.44843182,0.011245353,-8.061278,-0.24154538,0.88777226,0.15691203,-0.7876,-0.9380669,-5.2961812e-05,0.081301115,-8.581657e-05,-0.00010689178,-0.00012615221,0.22173691,-0.3747211
cell_16.6578_74.2205,16.6578,74.2205,Shenda Park,Hot Zone,0.20802696,0.06814339,0.03349391,6.3877087,-0.017131489,0.84353,0.07501049,-0.5078574,0.75465006,8.4800624e-05,0.019612137,0.0032847787,-0.00010318942,1.4691743e-05,0.09993659,0.3100787
cell_16.6578_74.2230,16.6578,74.223,Shenda Park,Hot Zone,0.13755709,0.21947563,0.0693462,6.438166,0.043885324,0.7971717,0.14526154,-0.5108191,0.7578688,0.0002285596,0.019612137,0.0035316753,-0.00010318942,1.4691743e-05,0.18624677,0.2960008
cell_16.6578_74.2255,16.6578,74.2255,Shenda Park,Hot Zone,0.18626031,0.14718285,0.015374379,6.4255314,-0.066312,0.8287964,0.023372293,-0.46542072,0.75792503,0.0002285596,0.019612137,0.0048405905,-9.963708e-05,1.4691743e-05,0.16495503,0.305856
